# Equinor Volve survey 15/9-F-12 (MD/INC/AZI measured; TVD/NS/EW by minimum curvature, tied to seabed pick coordinate)
MD,INC,AZI,TVD,NS,EW
0.00,0.000,0.000,0.00,2.65,0.17
145.00,0.000,0.000,145.00,2.65,0.17
150.00,0.000,0.000,150.00,2.65,0.17
180.00,0.000,0.000,180.00,2.65,0.17
210.00,0.000,0.000,210.00,2.65,0.17
240.00,0.000,0.000,240.00,2.65,0.17
254.00,0.000,0.000,254.00,2.65,0.17
270.00,0.000,0.000,270.00,2.65,0.17
284.00,0.000,0.000,284.00,2.65,0.17
300.00,0.530,45.000,300.00,2.70,0.22
330.00,1.530,45.000,329.99,3.08,0.60
360.00,2.530,45.000,359.98,3.84,1.36
390.00,3.530,45.000,389.93,4.96,2.48
420.00,4.530,45.000,419.86,6.45,3.97
450.00,5.530,45.000,449.74,8.31,5.83
480.00,6.530,45.000,479.58,10.54,8.06
510.00,7.530,45.000,509.35,13.13,10.65
524.00,8.000,45.000,523.22,14.47,11.99
540.00,7.010,41.920,539.08,15.98,13.43
570.00,5.240,33.080,568.91,18.49,15.40
600.00,3.710,16.260,598.82,20.57,16.42
630.00,2.850,344.070,628.77,22.22,16.49
660.00,3.220,306.210,658.74,23.44,15.60
690.00,4.550,283.620,688.67,24.22,13.77
720.00,6.240,272.160,718.53,24.56,10.98
750.00,8.080,265.730,748.30,24.46,7.25
780.00,9.980,261.690,777.93,23.93,2.57
810.00,11.910,258.940,807.38,22.96,-3.04
840.00,13.860,256.960,836.62,21.55,-9.58
870.00,15.820,255.450,865.62,19.72,-17.04
892.38,17.290,254.550,887.07,18.06,-23.20
900.00,17.290,254.550,894.35,17.46,-25.38
930.00,17.290,254.550,922.99,15.09,-33.97
960.00,17.290,254.550,951.64,12.71,-42.57
990.00,17.290,254.550,980.28,10.33,-51.16
1020.00,17.290,254.550,1008.93,7.96,-59.76
1050.00,17.290,254.550,1037.57,5.58,-68.35
1080.00,17.290,254.550,1066.22,3.21,-76.94
1081.87,17.290,254.550,1068.00,3.06,-77.48
1110.00,19.170,254.520,1094.72,0.71,-85.96
1132.05,20.640,254.490,1115.45,-1.29,-93.19
1140.00,20.640,254.490,1122.89,-2.04,-95.89
1170.00,20.640,254.490,1150.96,-4.87,-106.08
1200.00,20.640,254.490,1179.04,-7.70,-116.27
1230.00,20.640,254.490,1207.11,-10.52,-126.46
1260.00,20.640,254.490,1235.19,-13.35,-136.65
1290.00,20.640,254.490,1263.26,-16.18,-146.84
1320.00,20.640,254.490,1291.34,-19.01,-157.03
1350.00,20.640,254.490,1319.41,-21.84,-167.22
1365.00,20.640,254.490,1333.45,-23.25,-172.32
1380.00,20.640,254.490,1347.48,-24.66,-177.41
1410.00,20.640,254.490,1375.56,-27.49,-187.60
1440.00,20.640,254.490,1403.63,-30.32,-197.79
1470.00,20.640,254.490,1431.71,-33.15,-207.98
1500.00,20.640,254.490,1459.78,-35.97,-218.17
1530.00,20.640,254.490,1487.86,-38.80,-228.36
1560.00,20.640,254.490,1515.93,-41.63,-238.55
1590.00,20.640,254.490,1544.01,-44.46,-248.74
1620.00,20.640,254.490,1572.08,-47.29,-258.93
1650.00,20.640,254.490,1600.15,-50.11,-269.12
1680.00,20.640,254.490,1628.23,-52.94,-279.31
1710.00,20.640,254.490,1656.30,-55.77,-289.50
1740.00,20.640,254.490,1684.38,-58.60,-299.69
1770.00,20.640,254.490,1712.45,-61.42,-309.88
1800.00,20.640,254.490,1740.53,-64.25,-320.07
1830.00,20.640,254.490,1768.60,-67.08,-330.26
1860.00,20.640,254.490,1796.68,-69.91,-340.45
1890.00,20.640,254.490,1824.75,-72.74,-350.64
1920.00,20.640,254.490,1852.82,-75.56,-360.83
1935.32,20.640,254.490,1867.16,-77.01,-366.03
