# Equinor Volve definitive survey 15/9-F-15 D (MD m RKB, INC deg, AZI deg grid, TVD m RKB, NS/EW m from the package origin E 435050.03 / N 6478563.55, from the survey UTM coordinates). Source: awgeo/Volve_field_data input_data/wellpaths.
MD,INC,AZI,TVD,NS,EW
145.90,0.00,0.00,145.90,-3.195,3.522
153.40,0.15,253.69,153.40,-3.198,3.512
234.20,0.28,146.02,234.20,-3.391,3.521
274.60,0.78,136.21,274.60,-3.671,3.767
315.00,1.46,128.29,314.99,-4.189,4.361
355.30,3.41,124.07,355.25,-5.178,5.756
395.70,5.13,126.98,395.54,-6.937,8.194
436.10,5.52,139.07,435.76,-9.491,10.909
474.40,5.62,152.33,473.89,-12.542,12.986
514.80,6.19,163.05,514.07,-16.377,14.539
557.10,7.03,171.79,556.09,-21.119,15.573
597.50,7.74,174.05,596.16,-26.270,16.208
637.80,8.49,174.54,636.05,-31.928,16.772
678.20,8.94,175.57,675.99,-38.025,17.298
718.50,9.34,177.45,715.77,-44.411,17.685
758.90,10.22,185.51,755.59,-51.252,17.487
799.30,11.89,193.59,795.24,-58.863,16.165
839.70,13.68,199.13,834.64,-67.420,13.622
880.00,15.14,201.54,873.67,-76.815,10.129
920.40,13.72,203.30,912.79,-86.120,6.298
960.80,14.53,201.31,951.97,-95.239,2.563
1001.10,16.51,200.62,990.80,-105.305,-1.290
1041.60,16.33,201.19,1029.65,-115.996,-5.373
1081.90,16.18,205.25,1068.34,-126.354,-9.815
1122.30,17.54,211.88,1107.01,-136.612,-15.430
1162.60,17.66,221.21,1145.43,-146.366,-22.663
1203.00,16.05,230.28,1184.10,-154.544,-30.995
1243.30,15.33,232.77,1222.90,-161.325,-39.519
1283.80,18.17,237.03,1261.68,-168.000,-49.079
1324.10,21.21,241.08,1299.62,-174.944,-60.731
1364.50,24.71,243.03,1336.81,-182.308,-74.653
1389.40,21.90,245.03,1359.68,-186.628,-83.500
1409.80,21.44,249.87,1378.64,-189.516,-90.447
1469.50,19.80,266.07,1434.56,-193.966,-110.790
1510.00,18.51,273.32,1472.82,-194.064,-124.049
1551.00,16.25,280.28,1511.95,-192.664,-136.190
1591.00,15.05,294.29,1550.48,-189.528,-146.431
1631.10,15.19,309.35,1589.21,-184.056,-155.239
1672.10,15.54,316.07,1628.74,-176.696,-163.201
1712.70,16.89,323.84,1667.73,-168.019,-170.452
1753.20,18.95,335.44,1706.28,-157.287,-176.658
1792.90,20.66,344.61,1743.64,-144.672,-181.195
1833.50,22.98,351.87,1781.33,-129.922,-184.217
1874.00,25.39,357.35,1818.28,-113.423,-185.736
1914.80,27.17,2.38,1854.87,-95.381,-185.754
1955.10,29.95,3.22,1890.26,-76.146,-184.807
1995.50,30.21,3.94,1925.22,-55.945,-183.543
2035.60,30.21,4.37,1959.87,-35.828,-182.081
2075.60,30.20,4.60,1994.44,-15.772,-180.508
2116.00,29.79,3.84,2029.43,4.362,-179.022
2156.50,29.75,3.56,2064.59,24.422,-177.724
2196.70,29.77,4.21,2099.48,44.323,-176.373
2277.40,29.78,4.76,2169.53,84.262,-173.240
2318.10,29.89,3.51,2204.84,104.449,-171.781
2334.70,29.84,3.86,2219.23,112.695,-171.250
2398.90,29.97,9.05,2274.89,144.462,-167.653
2438.60,29.98,13.28,2309.29,163.903,-163.816
2477.50,29.97,17.83,2342.99,182.608,-158.609
2519.90,29.99,25.30,2379.73,202.270,-150.838
2560.90,30.41,32.46,2415.17,220.290,-140.889
2599.90,29.95,36.04,2448.89,236.486,-129.867
2630.60,30.28,37.52,2475.45,248.817,-120.647
2670.50,34.29,42.15,2509.18,265.132,-106.975
2711.40,38.53,44.94,2542.09,282.694,-90.243
2752.10,42.00,46.98,2573.14,300.957,-71.333
2792.40,46.02,47.94,2602.12,319.871,-50.709
2832.70,50.32,47.55,2628.99,340.054,-28.498
2873.30,54.93,46.75,2653.63,361.987,-4.864
2913.30,59.10,46.48,2675.40,385.022,19.505
2953.60,62.83,48.54,2694.96,408.799,45.480
2993.30,62.91,52.42,2713.07,431.269,72.718
3033.80,62.98,56.67,2731.50,452.176,102.079
3074.50,62.98,61.23,2749.99,470.864,133.119
3114.70,63.50,66.91,2768.11,486.541,165.372
3154.90,63.52,71.45,2786.04,499.320,198.978
3195.20,63.59,75.71,2804.00,509.513,233.566
3235.30,65.19,81.10,2821.34,516.763,268.960
3275.10,66.93,85.66,2837.50,520.944,305.068
3354.30,67.34,89.38,2868.28,524.096,377.934
3395.50,68.96,92.97,2883.62,523.306,416.144
3436.60,69.87,96.73,2898.07,520.051,454.459
3477.60,71.37,101.82,2911.69,513.814,492.599
3516.50,74.54,106.98,2923.09,504.560,528.587
3556.80,73.24,107.38,2934.28,493.128,565.563
3597.70,76.60,107.41,2944.92,481.328,603.230
3637.60,78.44,107.46,2953.54,469.660,640.383
3678.50,79.55,108.18,2961.35,457.377,678.591
3718.30,78.51,106.58,2968.92,445.710,715.864
3758.80,73.62,104.51,2978.67,435.176,753.706
3798.60,68.99,105.01,2991.42,425.579,790.139
3834.90,65.90,107.78,3005.35,416.131,822.283
3878.40,65.99,109.35,3023.08,403.489,859.924
3918.70,65.98,109.47,3039.48,391.260,894.631
3959.10,68.18,111.60,3055.22,378.208,929.458
3999.80,71.27,111.64,3069.32,364.148,964.934
4041.10,74.92,112.17,3081.33,349.412,1001.576
4081.40,74.89,111.29,3091.82,335.012,1037.708
4121.40,75.02,109.65,3102.20,321.508,1073.884
4161.60,76.92,109.69,3111.95,308.385,1110.594
4174.20,77.15,109.31,3114.78,304.288,1122.165
4202.30,78.85,108.76,3120.62,295.327,1148.138
4242.10,79.01,107.19,3128.26,283.278,1185.276
4282.70,78.90,106.62,3136.04,271.695,1223.389
4322.70,78.97,106.47,3143.72,260.520,1261.007
4362.40,77.50,106.91,3151.81,249.363,1298.222
4403.70,75.94,107.23,3161.30,237.568,1336.632
4443.40,78.75,107.82,3169.99,225.908,1373.553
4483.80,79.04,108.06,3177.78,213.702,1411.255
4524.20,77.65,107.51,3185.94,201.620,1448.917
4564.90,80.05,107.84,3193.81,189.501,1486.948
4605.40,82.04,108.48,3200.11,177.037,1524.946
4645.70,82.04,108.37,3205.69,164.426,1562.798
4671.00,79.48,107.27,3209.75,156.787,1586.561
4685.00,79.48,107.27,3212.31,152.702,1599.701
