# Equinor Volve definitive survey 15/9-F-1 A (MD m RKB, INC deg, AZI deg grid, TVD m RKB, NS/EW m from the package origin E 435050.03 / N 6478563.55, from the survey UTM coordinates). Source: awgeo/Volve_field_data input_data/wellpaths.
MD,INC,AZI,TVD,NS,EW
145.90,0.00,0.00,145.90,3.137,-3.542
150.15,0.00,0.00,150.15,3.137,-3.542
160.45,0.00,0.00,160.45,3.137,-3.542
170.04,0.00,0.00,170.04,3.137,-3.542
179.79,0.00,0.00,179.79,3.137,-3.542
189.74,0.00,0.00,189.74,3.137,-3.542
198.50,0.00,0.00,198.50,3.137,-3.542
210.70,0.00,0.00,210.70,3.137,-3.542
237.60,1.84,302.24,237.60,3.367,-3.907
251.10,1.91,304.70,251.09,3.611,-4.275
264.90,2.47,305.76,264.88,3.916,-4.706
279.20,2.05,306.81,279.17,4.249,-5.160
292.70,1.80,304.00,292.66,4.512,-5.529
302.80,1.13,330.72,302.76,4.687,-5.709
315.50,1.41,333.18,315.45,4.936,-5.841
332.20,2.40,314.19,332.14,5.363,-6.184
342.20,2.78,301.18,342.13,5.634,-6.542
358.50,3.30,293.10,358.41,6.023,-7.311
378.00,3.07,298.60,377.88,6.493,-8.286
414.80,3.30,293.64,414.62,7.389,-10.121
455.40,3.07,292.72,455.16,8.277,-12.193
495.40,2.84,290.41,495.11,9.036,-14.109
535.60,2.77,293.07,535.26,9.764,-15.936
575.80,3.06,287.04,575.41,10.459,-17.855
616.50,4.01,305.32,616.03,11.599,-20.054
656.80,6.13,317.80,656.17,14.008,-22.648
697.10,8.24,324.71,696.15,17.958,-25.761
720.00,9.57,322.37,718.78,20.804,-27.871
737.40,10.71,320.81,735.91,23.202,-29.775
756.80,10.39,320.18,754.98,25.942,-32.034
798.90,9.88,320.50,796.42,31.643,-36.760
838.30,10.04,315.72,835.23,36.708,-41.307
868.00,11.16,309.73,864.42,40.398,-45.324
878.20,11.28,310.41,874.43,41.675,-46.842
918.00,10.70,315.76,913.50,46.844,-52.382
999.00,8.88,319.88,993.32,57.009,-61.654
1079.80,9.07,320.34,1073.13,66.677,-69.735
1120.40,11.38,312.16,1113.08,71.829,-74.745
1160.80,11.86,307.61,1152.65,77.036,-80.987
1201.00,11.69,307.74,1192.01,82.048,-87.477
1241.40,12.44,309.36,1231.51,87.311,-94.076
1281.80,12.06,309.62,1270.99,92.760,-100.689
1322.40,10.85,310.25,1310.79,97.932,-106.871
1335.60,10.17,309.34,1323.76,99.473,-108.720
1387.10,7.66,329.93,1374.65,105.326,-113.957
1428.00,10.47,345.74,1415.04,111.287,-116.238
1468.30,12.18,6.35,1454.57,119.062,-116.670
1508.70,13.62,22.56,1493.96,127.691,-114.373
1551.30,15.49,29.92,1535.20,137.251,-109.612
1589.10,17.80,32.61,1571.41,146.491,-103.982
1629.50,20.24,33.68,1609.60,157.506,-96.780
1663.40,23.45,33.72,1641.07,167.995,-89.784
1710.40,26.64,33.77,1683.64,184.531,-78.737
1750.30,29.38,36.44,1718.87,199.839,-67.952
1790.40,29.98,36.55,1753.70,215.796,-56.147
1831.10,30.06,36.61,1788.94,232.141,-44.016
1871.10,30.03,36.77,1823.57,248.195,-32.055
1911.60,29.86,35.39,1858.66,264.527,-20.153
1952.20,29.78,34.81,1893.89,281.039,-8.548
1992.80,29.92,35.24,1929.10,297.581,3.046
2027.30,29.89,35.13,1959.01,311.634,12.953
2066.30,29.92,34.80,1992.82,327.563,24.092
2113.70,29.80,35.71,2033.92,346.827,37.709
2154.70,29.85,34.79,2069.49,363.474,49.473
2194.30,29.84,36.98,2103.84,379.432,61.019
2234.70,29.79,38.27,2138.89,395.335,73.277
2275.10,30.01,37.36,2173.92,411.239,85.619
2305.90,29.96,35.61,2200.60,423.610,94.768
2396.50,30.06,35.35,2279.05,460.497,121.060
2436.70,30.19,35.59,2313.82,476.923,132.763
2470.80,30.22,36.84,2343.29,490.758,142.895
2517.20,30.25,36.59,2383.38,509.481,156.858
2557.90,30.19,34.71,2418.55,526.119,168.793
2587.00,30.19,33.06,2443.70,538.262,176.948
2621.10,29.93,25.32,2473.23,553.138,185.263
2647.40,28.62,18.88,2496.17,565.028,190.107
2688.10,27.17,11.08,2532.15,583.372,195.048
2727.50,26.91,3.24,2567.26,601.101,197.280
2768.60,26.81,353.59,2603.94,619.600,196.771
2809.10,28.15,343.98,2639.89,637.863,193.114
2849.40,30.20,333.38,2675.10,656.069,185.946
2889.60,32.18,322.06,2709.52,673.561,174.827
2930.40,34.72,315.89,2743.57,690.474,160.058
2970.70,38.45,310.87,2775.93,706.917,142.591
3010.90,42.29,305.91,2806.56,723.033,122.179
3051.00,45.11,300.16,2835.56,738.086,98.964
3091.40,48.20,296.12,2863.29,751.908,73.067
3130.50,53.44,294.14,2887.98,764.751,45.640
3171.20,57.55,289.29,2911.05,777.115,14.500
3212.10,62.02,285.32,2931.63,787.592,-19.221
3251.60,63.21,281.36,2949.80,795.673,-53.328
3292.00,58.32,281.29,2969.53,802.592,-87.873
3333.10,53.03,282.89,2992.70,809.681,-121.041
3373.40,46.91,287.36,3018.61,817.670,-150.805
3413.80,44.30,285.04,3046.88,825.732,-178.507
3454.10,43.58,283.54,3075.90,832.634,-205.594
3494.30,44.11,283.07,3104.89,839.040,-232.684
3534.60,44.10,283.10,3133.83,845.387,-259.994
3574.30,44.13,283.44,3162.33,851.729,-286.882
3615.20,44.05,284.07,3191.70,858.492,-314.514
3655.40,44.08,285.06,3220.59,865.521,-341.563
3671.10,44.05,285.44,3231.87,868.392,-352.094
3682.00,44.05,285.44,3239.71,870.409,-359.397
