# RECONSTRUCTED: smooth path through the official Volve formation-pick coordinates of 15/9-F-1 C (no public definitive survey)
MD,INC,AZI,TVD,NS,EW
0.00,0.000,0.000,0.00,3.15,-3.53
146.00,0.000,0.000,146.00,3.15,-3.53
155.87,0.179,307.475,155.85,3.16,-3.54
165.75,0.356,307.534,165.70,3.19,-3.58
175.62,0.531,307.594,175.56,3.23,-3.64
185.49,0.704,307.654,185.41,3.30,-3.72
195.37,0.874,307.716,195.26,3.38,-3.83
205.24,1.042,307.778,205.11,3.48,-3.96
215.11,1.207,307.841,214.96,3.60,-4.11
224.99,1.371,307.905,224.81,3.74,-4.29
234.86,1.532,307.970,234.65,3.89,-4.49
244.73,1.690,308.035,244.50,4.06,-4.70
254.61,1.847,308.102,254.35,4.25,-4.94
264.48,2.001,308.169,264.19,4.45,-5.20
274.35,2.153,308.238,274.04,4.67,-5.48
284.23,2.302,308.307,283.88,4.91,-5.78
294.10,2.449,308.377,293.73,5.16,-6.10
303.97,2.594,308.449,303.57,5.43,-6.44
313.85,2.737,308.521,313.41,5.72,-6.80
323.72,2.877,308.595,323.26,6.02,-7.18
333.59,3.015,308.669,333.10,6.34,-7.58
343.47,3.151,308.745,342.94,6.67,-7.99
353.34,3.284,308.821,352.78,7.01,-8.42
363.21,3.415,308.899,362.62,7.38,-8.87
373.09,3.544,308.978,372.45,7.75,-9.33
382.96,3.670,309.058,382.29,8.14,-9.82
392.83,3.795,309.140,392.13,8.55,-10.31
402.71,3.916,309.222,401.96,8.96,-10.83
412.58,4.036,309.306,411.80,9.40,-11.36
422.45,4.153,309.391,421.63,9.84,-11.90
432.33,4.268,309.478,431.46,10.30,-12.46
442.20,4.381,309.566,441.29,10.78,-13.03
452.07,4.492,309.655,451.12,11.26,-13.62
461.95,4.600,309.745,460.95,11.76,-14.22
471.82,4.706,309.838,470.78,12.27,-14.84
481.69,4.809,309.931,480.61,12.80,-15.47
491.57,4.911,310.026,490.44,13.34,-16.11
501.44,5.010,310.123,500.26,13.88,-16.76
511.31,5.107,310.221,510.09,14.45,-17.42
521.19,5.201,310.321,519.91,15.02,-18.10
531.06,5.294,310.423,529.74,15.60,-18.79
540.93,5.384,310.526,539.56,16.20,-19.49
550.81,5.472,310.632,549.38,16.81,-20.19
560.68,5.557,310.739,559.20,17.42,-20.91
570.55,5.641,310.847,569.02,18.05,-21.64
580.43,5.722,310.958,578.84,18.69,-22.38
590.30,5.800,311.071,588.65,19.34,-23.13
600.17,5.877,311.185,598.47,20.00,-23.88
610.05,5.951,311.302,608.28,20.67,-24.65
619.92,6.024,311.421,618.09,21.35,-25.42
629.79,6.093,311.542,627.91,22.04,-26.20
639.67,6.161,311.665,637.72,22.74,-26.99
649.54,6.227,311.791,647.53,23.45,-27.78
659.41,6.290,311.919,657.34,24.17,-28.58
669.29,6.351,312.049,667.14,24.90,-29.39
679.16,6.410,312.182,676.95,25.63,-30.20
689.03,6.466,312.318,686.75,26.37,-31.02
698.91,6.521,312.456,696.56,27.13,-31.85
708.78,6.573,312.597,706.36,27.89,-32.68
718.65,6.623,312.740,716.16,28.66,-33.51
