DATEPRD,NPD_WELL_BORE_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_WHP_P,AVG_CHOKE_SIZE_P,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL,FLOW_KIND,WELL_TYPE
2014-01-12,15/9-F-15 D,0.000,303.747,98.701,20.212,1.182,0.000,0.000,0.000,,production,OP
2014-01-13,15/9-F-15 D,0.000,303.955,98.734,23.260,1.197,0.000,0.000,0.000,,production,OP
2014-01-14,15/9-F-15 D,0.000,303.377,98.792,21.347,1.125,0.000,0.000,0.000,,production,OP
2014-01-15,15/9-F-15 D,0.000,304.405,98.102,31.875,2.610,0.000,0.000,0.000,,production,OP
2014-01-16,15/9-F-15 D,24.000,241.771,104.899,55.871,8.661,351.050,52394.900,0.000,,production,OP
2014-01-17,15/9-F-15 D,24.000,213.852,106.293,51.638,9.470,485.340,72058.820,0.000,,production,OP
2014-01-18,15/9-F-15 D,24.000,206.615,106.375,48.689,9.688,513.120,77600.880,0.000,,production,OP
2014-01-19,15/9-F-15 D,24.000,203.075,106.392,46.565,9.731,497.550,72928.160,0.000,,production,OP
2014-01-20,15/9-F-15 D,24.000,203.981,106.317,46.870,9.401,469.590,67199.150,0.000,,production,OP
2014-01-21,15/9-F-15 D,24.000,201.568,106.335,45.855,9.581,479.090,68123.460,0.000,,production,OP
2014-01-22,15/9-F-15 D,24.000,199.666,106.343,44.999,9.536,495.130,69287.430,0.000,,production,OP
2014-01-23,15/9-F-15 D,24.000,200.192,106.297,45.135,9.415,430.230,60809.770,0.000,,production,OP
2014-01-24,15/9-F-15 D,24.000,200.638,106.268,45.205,9.400,409.090,58874.590,0.000,,production,OP
2014-01-25,15/9-F-15 D,24.000,200.993,106.248,45.248,9.358,443.840,65515.400,0.000,,production,OP
2014-01-26,15/9-F-15 D,24.000,200.489,106.257,45.022,9.376,360.800,51613.550,0.000,,production,OP
2014-01-27,15/9-F-15 D,24.000,200.176,106.261,44.841,9.405,362.030,49963.000,0.000,,production,OP
2014-01-28,15/9-F-15 D,24.000,201.553,106.213,45.238,9.350,377.770,54599.850,0.000,,production,OP
2014-01-29,15/9-F-15 D,8.142,200.496,106.268,44.504,4.617,0.000,0.000,0.000,,production,OP
2014-01-31,15/9-F-15 D,19.775,212.381,105.599,49.853,3.845,0.000,0.000,0.000,,production,OP
2014-02-01,15/9-F-15 D,24.000,200.397,106.326,45.231,4.168,356.460,54305.490,0.000,,production,OP
2014-02-02,15/9-F-15 D,24.000,200.859,106.334,45.469,3.742,338.400,50474.030,0.000,,production,OP
2014-02-03,15/9-F-15 D,24.000,200.128,106.361,45.199,3.700,336.000,49831.350,0.000,,production,OP
2014-02-04,15/9-F-15 D,24.000,199.893,106.368,45.066,3.602,325.520,48305.930,0.000,,production,OP
2014-02-05,15/9-F-15 D,24.000,200.064,106.363,45.063,3.444,312.160,46243.990,0.000,,production,OP
2014-02-06,15/9-F-15 D,7.875,201.714,106.334,45.113,1.983,117.660,18016.400,0.000,,production,OP
