WELL,NPD_CODE,Year,Month,ON_STREAM_HRS,OIL_SM3,GAS_SM3,WATER_SM3,GAS_INJ_SM3,WATER_INJ_SM3
15/9-F-1 C,7405,2014,4,227.5,11142.47,1597936.65,0,,
15/9-F-1 C,7405,2014,5,733.83334,24901.95,3496229.65,783.48,,
15/9-F-1 C,7405,2014,6,705.91666,19617.76,2886661.69,2068.48,,
15/9-F-1 C,7405,2014,7,742.41666,15085.68,2249365.75,6243.98,,
15/9-F-1 C,7405,2014,8,432.99166,6970.43,1048190.8,4529.75,,
15/9-F-1 C,7405,2014,9,630.3,9168.43,1414099.99,8317.59,,
15/9-F-1 C,7405,2014,10,745,9468.06,1462063.99,10364.87,,
15/9-F-1 C,7405,2014,11,579.775,6710.33,1044188.3,7234.24,,
15/9-F-1 C,7405,2014,12,27.5,120.29,25857.08,183.44,,
15/9-F-1 C,7405,2015,1,479.91667,10875.53,1604934.6,6850.8,,
15/9-F-1 C,7405,2015,2,437.41667,9586.64,1439453.67,10744.99,,
15/9-F-1 C,7405,2015,3,320.20833,5879.22,856681.45,11607.44,,
15/9-F-1 C,7405,2015,4,262.83333,3924.18,566709.81,9815.16,,
15/9-F-1 C,7405,2015,5,181.08333,3832.69,559060.34,6167.47,,
15/9-F-1 C,7405,2015,6,466.44986,6344.5,925337.48,14548.69,,
15/9-F-1 C,7405,2015,7,241.66667,2093.95,315178.96,8454.26,,
15/9-F-1 C,7405,2015,8,147.79167,2871.02,427692.59,5334.03,,
15/9-F-1 C,7405,2015,9,384.4668,6460.27,961548.42,14767.12,,
15/9-F-1 C,7405,2015,10,367.79986,4085.8,631372.56,13538.71,,
15/9-F-1 C,7405,2015,11,301.25833,3332.05,508384.43,11682.31,,
15/9-F-1 C,7405,2015,12,197.65833,2949.42,454911.3,6231.55,,
15/9-F-1 C,7405,2016,1,387.68334,2981.44,471675.96,14036.28,,
15/9-F-1 C,7405,2016,2,484.48332,4718.03,742339.77,15945.73,,
15/9-F-1 C,7405,2016,3,356.75833,2917.5,476830.19,13410.89,,
15/9-F-1 C,7405,2016,4,140.82499,1671.69,274213.17,4441.13,,
15/9-F-11,7078,2013,7,112.91514,3923.08,590504.52,0,,
15/9-F-11,7078,2013,8,586.71667,25496.07,3871942.31,520.01,,
15/9-F-11,7078,2013,9,538.91667,23775.08,3661574,1573.61,,
15/9-F-11,7078,2013,10,678.49991,34114.5,5272724.29,1926.53,,
15/9-F-11,7078,2013,11,712,35386.35,5413486.14,3791.22,,
15/9-F-11,7078,2013,12,662.08335,33405.75,5190658.82,4963.26,,
15/9-F-11,7078,2014,1,668.08333,34552.37,5193353.22,4343.49,,
15/9-F-11,7078,2014,2,562.66666,28189.97,4255282.68,2841.37,,
15/9-F-11,7078,2014,3,655.49999,33290.79,5039849.75,3692.22,,
15/9-F-11,7078,2014,4,691.51685,35428.73,5301958.8,4124.45,,
15/9-F-11,7078,2014,5,731.5,34831.88,4902619.28,5017.47,,
15/9-F-11,7078,2014,6,709.33333,33898.64,4990684.52,6083.59,,
15/9-F-11,7078,2014,7,742.66667,33760.33,5035917.29,6800.85,,
15/9-F-11,7078,2014,8,599.11669,26037.54,4033770.42,6076.52,,
15/9-F-11,7078,2014,9,690.66667,33221.64,5220328.68,8349.05,,
15/9-F-11,7078,2014,10,745,33851.72,5237208.3,10287.9,,
15/9-F-11,7078,2014,11,692.39181,26611.5,4153116.29,9403.58,,
15/9-F-11,7078,2014,12,733.8582,8547.92,1413111.64,3079.05,,
15/9-F-11,7078,2015,1,708.33333,29561.8,4358978.95,13860.6,,
15/9-F-11,7078,2015,2,632.16667,25347.22,3836073.69,14061.01,,
15/9-F-11,7078,2015,3,743.83333,44316.19,6516700.49,19387.3,,
15/9-F-11,7078,2015,4,720,54555.76,7956467.49,23839.72,,
15/9-F-11,7078,2015,5,744,55029.22,8027510.44,24425.53,,
15/9-F-11,7078,2015,6,718.81667,48231.1,7065851.59,22891.62,,
15/9-F-11,7078,2015,7,744,43784.66,6508853.29,36195.93,,
15/9-F-11,7078,2015,8,632.01681,31498.15,4769902.18,31870.44,,
15/9-F-11,7078,2015,9,718.72458,31424.59,4748109.86,37411.85,,
15/9-F-11,7078,2015,10,626.89181,29724.78,4501570.02,38022.56,,
15/9-F-11,7078,2015,11,671.3082,36410.23,5558573.35,57058.61,,
15/9-F-11,7078,2015,12,740.16667,35933.9,5504665.46,62976.28,,
15/9-F-11,7078,2016,1,736.49999,31603.26,4949940.78,67980.66,,
15/9-F-11,7078,2016,2,695.58333,25954.57,4093286.56,66610.49,,
15/9-F-11,7078,2016,3,743,25023.66,4032038.1,76636.96,,
15/9-F-11,7078,2016,4,579.08332,13429,2194427.05,57931.66,,
15/9-F-11,7078,2016,5,744,15528.75,2450713.77,73445.23,,
15/9-F-11,7078,2016,6,718.41667,14590.61,2349131.22,71699.35,,
15/9-F-11,7078,2016,7,740.00101,14384.88,2309447.47,77084.72,,
15/9-F-11,7078,2016,8,743.66667,14583.73,2341371.55,87762.19,,
15/9-F-11,7078,2016,9,392.27514,8609.18,1458816.35,46779.39,,
15/9-F-12,5599,2008,2,406.62499,49091.06,7068009.29,412.61,,
15/9-F-12,5599,2008,3,655.10834,83361.26,12191170.91,27.42,,
15/9-F-12,5599,2008,4,613.64666,74532.45,11506440.74,482.05,,
15/9-F-12,5599,2008,5,716.19167,125478.56,19091871.52,16280.12,,
15/9-F-12,5599,2008,6,675.91669,143786.85,21512333.93,474.37,,
15/9-F-12,5599,2008,7,710.74165,114994.61,17116441.78,290.02,,
15/9-F-12,5599,2008,8,672.83334,97822.46,14143008.24,354.18,,
15/9-F-12,5599,2008,9,567.97499,77666.95,11185944.41,188.39,,
15/9-F-12,5599,2008,10,737.50001,94357.23,13430833.95,624.05,,
15/9-F-12,5599,2008,11,712.66667,145915.56,20837122.26,2390.31,,
15/9-F-12,5599,2008,12,744,166439.67,24106361.74,1003.31,,
15/9-F-12,5599,2009,1,740.83332,153677.16,22255224.02,389.76,,
15/9-F-12,5599,2009,2,656.30834,121905.01,17427051.54,0,,
15/9-F-12,5599,2009,3,506.33334,92958.71,13123546.99,0,,
15/9-F-12,5599,2009,4,719.16667,150955.68,20931107.81,1246.29,,
15/9-F-12,5599,2009,5,695.16666,141039.01,19366853.43,3106.49,,
15/9-F-12,5599,2009,6,715.31666,132429.71,17787475.65,2658.63,,
15/9-F-12,5599,2009,7,742.16666,106105.25,14721967.2,3289.44,,
15/9-F-12,5599,2009,8,589.075,112414.27,15676349.96,5024.01,,
15/9-F-12,5599,2009,9,493.25,90098.89,12553421.69,2235.08,,
15/9-F-12,5599,2009,10,683.74166,126939.65,17819694.28,6812.79,,
15/9-F-12,5599,2009,11,705.75001,136015.68,19181583.58,11286.87,,
15/9-F-12,5599,2009,12,728.5,158001.52,22160862.45,17321.2,,
15/9-F-12,5599,2010,1,742.16666,149658.83,21044604.02,30230.27,,
15/9-F-12,5599,2010,2,608.725,103026,14520589.94,43215.66,,
15/9-F-12,5599,2010,3,647.66666,101571.61,14278518.8,53998.5,,
15/9-F-12,5599,2010,4,705.99999,86253.61,12161145.93,67996.09,,
